emb_type,max_len,pad_pos,dropout,lr,batch_size
fasttext,256,split,0.3,0.0004903885308974118,64
glove,256,head,0.3,0.0004792556773129468,128
glove_50,256,head,0.4,0.004233331283663397,256
bert,512,split,0.4,0.0002460714828189594,128
glove,256,tail,0.3,0.0008226017948936499,64
glove,256,split,0.5,0.0009613980556038923,128
glove,512,split,0.3,0.0006113500566990547,128
glove_50,256,tail,0.4,0.001914739567562383,128
bert,256,split,0.3,0.00012247248548609706,64
bert,256,head,0.6,0.00023751503993700527,64
fasttext,512,head,0.3,0.0018481837520970116,256
fasttext,512,tail,0.3,0.000340101021564563,128
glove,512,head,0.3,0.0010833174637568529,256
bert,256,tail,0.3,0.00029229002698082204,128
glove_50,512,head,0.3,0.0008961359732743953,256
glove_50,512,tail,0.3,0.001053280790421458,128
fasttext,256,tail,0.4,0.006409946197297073,128
fasttext,256,head,0.3,0.004939154524021942,128
glove_50,256,split,0.3,0.0009373837650191575,128
glove_50,512,split,0.5,0.001728402437487207,128
bert,512,head,0.3,0.0011361576205412781,256
fasttext,512,split,0.3,0.0009912176042813925,256
glove,512,tail,0.3,0.0008759428364264309,256
bert,512,tail,0.5,0.0010084803596327595,256
