embedding_type,max_length,padding,precision,recall,f1_score,f2_score
fasttext,256,split,0.6673866090712743,0.6990950226244343,0.6828729281767956,0.6925145674585387
glove,256,head,0.6098484848484849,0.7285067873303167,0.6639175257731957,0.7012195121951219
glove_50,256,head,0.4829443447037702,0.6085972850678733,0.5385385385385386,0.578494623655914
bert,512,split,0.8607594936708861,0.8542713567839196,0.8575031525851199,0.8555611474584801
glove,256,tail,0.6288461538461538,0.7398190045248869,0.6798336798336799,0.7145979020979022
glove,256,split,0.5377643504531722,0.8054298642533937,0.644927536231884,0.7325102880658437
glove,512,split,0.639821029082774,0.7185929648241206,0.676923076923077,0.7013241785188818
glove_50,256,tail,0.4616477272727273,0.7352941176470589,0.5671902268760908,0.6573624595469255
bert,256,split,0.8616780045351474,0.8577878103837472,0.8597285067873303,0.8585630366018978
bert,256,head,0.8358862144420132,0.8623024830699775,0.8488888888888889,0.8568864961866308
fasttext,512,head,0.715,0.7185929648241206,0.7167919799498746,0.717871485943775
fasttext,512,tail,0.691566265060241,0.7211055276381909,0.7060270602706027,0.7149975087194818
glove,512,head,0.6175213675213675,0.7261306532663316,0.6674364896073903,0.7014563106796117
bert,256,tail,0.8571428571428571,0.8532731376975169,0.8552036199095022,0.8540442837776773
glove_50,512,head,0.47665056360708535,0.7437185929648241,0.5809617271835132,0.6687754179846362
glove_50,512,tail,0.49572649572649574,0.7286432160804021,0.5900305188199391,0.6660542030316952
fasttext,256,tail,0.5951035781544256,0.7149321266968326,0.6495375128468653,0.6872553284036538
fasttext,256,head,0.5460526315789473,0.751131221719457,0.6323809523809524,0.6986531986531986
glove_50,256,split,0.47900466562986005,0.6968325791855203,0.5677419354838709,0.6387391124014931
glove_50,512,split,0.4263233190271817,0.7487437185929648,0.5432999088422973,0.650371017023134
bert,512,head,0.8994413407821229,0.8090452261306532,0.8518518518518519,0.8256410256410256
fasttext,512,split,0.7261306532663316,0.7261306532663316,0.7261306532663316,0.7261306532663316
glove,512,tail,0.620253164556962,0.7386934673366834,0.6743119266055047,0.7115198451113263
bert,512,tail,0.8478802992518704,0.8542713567839196,0.851063829787234,0.8529854490717511
